feature,coefficient,abs_coefficient
cat__country_JP,-0.317037648227898,0.317037648227898
cat__country_IN,0.25660428776277816,0.25660428776277816
num__num_sessions,-0.22773259822335004,0.22773259822335004
num__num_core_actions_completed,-0.22663929086950874,0.22663929086950874
num__profile_complete,-0.1903334053540367,0.1903334053540367
num__job_save,-0.18621508010601898,0.18621508010601898
cat__country_FR,-0.1700211074934868,0.1700211074934868
cat__country_US,0.16539368009222008,0.16539368009222008
num__growth_task_complete,-0.1611509507364612,0.1611509507364612
num__num_user_actions,0.15783200629955096,0.15783200629955096
num__total_user_actions_in_sessions,0.15783200629955096,0.15783200629955096
cat__acquisition_channel_content_marketing,-0.14057262554154593,0.14057262554154593
num__onboarding_complete,-0.1391828697491066,0.1391828697491066
cat__user_intent_level_high,-0.13576828997558513,0.13576828997558513
cat__device_type_tablet,-0.128550392909187,0.128550392909187
num__max_events_in_session,-0.12779887016895522,0.12779887016895522
cat__country_infrequent_sklearn,-0.12603759391139197,0.12603759391139197
num__resume_upload,-0.11955054366922721,0.11955054366922721
cat__acquisition_channel_referral,0.11859642964966086,0.11859642964966086
cat__country_GB,-0.11711183259905993,0.11711183259905993
num__onboarding_started,-0.11227165432956387,0.11227165432956387
cat__onboarding_variant_simplified,-0.10451262784875813,0.10451262784875813
cat__acquisition_channel_organic_search,-0.09625535550386966,0.09625535550386966
cat__country_DE,0.0865590622345425,0.0865590622345425
cat__country_CN,0.08568772168911214,0.08568772168911214
cat__acquisition_channel_campus_event,0.08379792074285246,0.08379792074285246
num__signup_day_of_week,0.06289489646005095,0.06289489646005095
cat__country_CA,0.06017240721842359,0.06017240721842359
cat__device_type_desktop,0.057874770736183516,0.057874770736183516
cat__career_stage_student,-0.05221098763416787,0.05221098763416787
cat__onboarding_variant_personalized,0.047072138463729825,0.047072138463729825
cat__acquisition_channel_social_ads,-0.04644000841293157,0.04644000841293157
num__signup_hour,-0.04515348815173201,0.04515348815173201
num__job_recommendation_view,-0.043943240079576805,0.043943240079576805
num__num_days_active,-0.0365645341381039,0.0365645341381039
cat__user_intent_level_low,0.03537409496501419,0.03537409496501419
cat__onboarding_variant_control,-0.02343314968080483,0.02343314968080483
num__avg_events_per_session,0.021568388092610028,0.021568388092610028
cat__user_intent_level_medium,0.01952055594473626,0.01952055594473626
cat__career_stage_early_career,-0.01844529042480673,0.01844529042480673
num__career_report_generate,-0.015067145272573074,0.015067145272573074
cat__career_stage_new_graduate,-0.010217361006861606,0.010217361006861606
cat__device_type_mobile,-0.010198016892830801,0.010198016892830801
cat__country_BR,-0.005082615831073847,0.005082615831073847
num__marketing_consent,-0.003768980168192449,0.003768980168192449
num__num_email_sent,0.0,0.0
num__num_push_sent,0.0,0.0
num__num_in_app_sent,0.0,0.0
