feature,importance_mean,importance_std
num_core_actions_completed,0.02617927241085387,0.010006251935669723
num_sessions,0.02100480357180119,0.01129955388744196
job_save,0.020846602274170945,0.006052405697316085
profile_complete,0.015167680308109532,0.006994992936744703
growth_task_complete,0.011358384641835329,0.008451573356587735
onboarding_started,0.010383196294114671,0.005943731240874876
onboarding_complete,0.010242495811998343,0.0058907055863518295
max_events_in_session,0.009564117420670393,0.007509654722527174
num_user_actions,0.005432757974591784,0.005865607137486848
total_user_actions_in_sessions,0.005432757974591784,0.005865607137486848
country,0.004592186400945631,0.004886862101152146
job_recommendation_view,0.00205803174626189,0.001965677714075918
avg_events_per_session,0.0020560407405100455,0.0012054902548000999
resume_upload,0.0020157789884599707,0.005806685918561535
user_intent_level,0.0018112987304381267,0.003711509926394452
num_days_active,0.0009427949847455319,0.0013930832935918642
onboarding_variant,0.00030663264678386647,0.0019021580283752207
device_type,0.00027477883325679466,0.003040636382007465
marketing_consent,0.00013615069955199565,0.00036153039068095074
num_push_sent,0.0,0.0
num_email_sent,0.0,0.0
num_in_app_sent,0.0,0.0
career_report_generate,-8.28352586164538e-05,0.0009438478754016806
career_stage,-0.0001507943020839897,0.0009722508697706945
signup_hour,-0.0013199726750237728,0.002082504856343271
signup_day_of_week,-0.0014417306132837537,0.003022746647741752
acquisition_channel,-0.0021391419350114795,0.004048141063025655
