group_column,group_value,sample_size,churn_rate,precision,recall,f1_score,predicted_positive_rate,small_sample
acquisition_channel,campus_event,215,0.3953488372093023,0.47586206896551725,0.8117647058823529,0.6,0.6744186046511628,False
acquisition_channel,content_marketing,93,0.25806451612903225,0.3469387755102041,0.7083333333333334,0.4657534246575342,0.5268817204301075,False
acquisition_channel,organic_search,364,0.37362637362637363,0.4767932489451477,0.8308823529411765,0.6058981233243967,0.6510989010989011,False
acquisition_channel,referral,89,0.33707865168539325,0.43859649122807015,0.8333333333333334,0.5747126436781609,0.6404494382022472,False
acquisition_channel,social_ads,239,0.3723849372384937,0.4791666666666667,0.7752808988764045,0.592274678111588,0.602510460251046,False
career_stage,early_career,226,0.39823008849557523,0.503448275862069,0.8111111111111111,0.6212765957446809,0.6415929203539823,False
career_stage,new_graduate,311,0.3311897106109325,0.3891625615763547,0.7669902912621359,0.5163398692810458,0.6527331189710611,False
career_stage,student,463,0.3693304535637149,0.4964788732394366,0.8245614035087719,0.6197802197802198,0.6133909287257019,False
device_type,desktop,450,0.38,0.47896440129449835,0.8654970760233918,0.6166666666666667,0.6866666666666666,False
device_type,mobile,396,0.3484848484848485,0.45569620253164556,0.782608695652174,0.576,0.5984848484848485,False
device_type,tablet,154,0.35714285714285715,0.43023255813953487,0.6727272727272727,0.524822695035461,0.5584415584415584,False
